,VMAF_1,VMAF_2,VMAF_3,VMAF_4,VMAF_5,VMAF_6,VMAF_7,VMAF_8,VMAF_9,VMAF_10
0,29.80443874,29.80545411,56.85922505,64.573272,74.66432284,80.76378368,88.26765789,88.46705126,88.55809705,88.58002168
1,28.00236365,28.00081531,42.65338594,51.9846425,65.88962104,75.50860104,86.09419052,86.16958823,86.23578417,86.28666979
2,2.3589375,4.485846563,42.24396573,55.81486271,69.38584646,78.04743885,85.3864575,88.82061188,91.75991708,93.20778917
3,1.306000521,2.717053333,30.75789344,45.98146135,60.51062073,71.62633865,80.810425,84.69192146,88.23887875,90.42033021
4,8.936075104,11.3974149,36.89168021,51.18208719,65.16505083,73.92355896,81.337,84.11353375,86.61557313,88.18731594
5,0,0,27.7354525,43.68567437,61.49326323,73.13167594,84.45126115,85.62440094,86.87584323,87.59653802
6,0,0,41.71915313,56.25269302,71.05981729,79.54304469,86.43110667,88.25482375,89.65838646,90.41103698
7,0,0,38.30239437,52.81035063,68.01597438,77.42149615,85.354885,87.40687271,89.55167052,90.26623875
8,0,0,38.96952427,53.64047427,68.9149649,78.19157021,86.47045896,87.72321823,89.08981906,89.69310573
9,0,0,36.57359771,51.43958927,67.86984677,77.69272052,85.75731813,88.1393699,89.94545385,90.7821625
10,0,0,26.55724719,40.74630937,57.81377427,69.64121646,79.86243333,82.78758229,84.99682146,86.19758219
11,4.22972625,5.759024583,39.61039896,55.11335333,70.89251167,81.54400656,87.98429406,91.24178635,93.6257825,94.87413104
12,0,0.684737188,35.67361396,50.87875292,67.14292625,78.55689354,85.14981771,89.10014167,92.94550865,94.90116448
13,0.859056771,1.842123438,40.6402449,56.05373594,70.11673604,78.83089094,84.56277427,88.39862531,91.54643531,93.38430573
14,6.695316771,13.9658401,56.11698573,68.33716333,78.1089401,84.59861917,88.64748906,91.73037292,94.45160531,95.78363521
15,14.17227719,20.55570094,56.43173646,66.79965958,76.1401175,81.97662687,86.08957844,88.03262427,89.83081573,90.81884708
16,0,0.006586354,34.48835385,46.66455969,61.90592927,72.74217198,84.81144969,85.23733646,85.63500427,85.8757351
17,0.253410313,0.299246979,30.7869301,44.70352479,62.15946792,73.32720948,85.8214924,86.42533792,87.23046448,87.70132188
18,0,0,31.85680531,48.01540552,65.63406958,76.83160823,87.4413149,88.76215396,90.59005729,91.32831531
19,0,0,37.53764344,53.41086302,70.00178875,79.91716938,88.17994365,89.7463201,91.18119854,92.0765974
20,0.173710521,0.734190521,44.42252313,57.21576063,70.91693979,78.65498937,85.5869899,86.7175551,87.83127385,88.48414969
21,6.6706325,9.495590729,57.17237396,71.60220177,84.67273698,91.55296375,95.19764969,96.86774042,97.98222229,98.46055906
22,1.66159,2.577093438,33.38371635,49.54233354,67.07349292,78.55566031,87.82307229,90.02285156,91.95319635,93.08703656
23,5.76987875,8.875690938,42.19265667,55.25562208,67.89876292,76.45352031,84.30197385,86.25814406,88.46382042,89.2781825
24,0.065984688,1.453093542,40.87658208,54.91313062,68.74167031,77.0847975,84.30787375,86.39258427,88.17284635,89.33783677
25,0.07902,0.830064896,35.27956313,49.68047615,64.73726448,74.14401615,83.07023437,85.63772406,88.13259052,89.20280156
26,0,0,28.61767052,45.13150427,64.06602677,75.44900844,84.86325885,88.14481042,90.61783146,92.15356219
27,0,0,30.14244802,46.65413531,64.44888781,75.51721698,84.98511938,87.83261792,90.41969177,91.51134188
28,0,0.02498,34.3611826,49.87866094,67.37703646,76.58504042,84.06408833,87.34310375,90.87872365,93.00440896
29,0.018920313,0.675376667,44.8684525,57.75818865,70.80631698,79.34202667,86.33041042,88.03178552,89.5075625,90.34115792
30,2.121916771,6.190223646,50.56780833,62.05886396,73.85096813,81.37980031,86.26563542,89.20569542,91.58277323,92.73352833
31,5.136851042,9.560023125,53.7099824,65.13676812,76.88577542,82.26523427,86.13052177,88.88267438,90.54878375,91.93110396
32,1.350316771,4.751057604,49.35274135,62.53605552,73.77147667,80.3287926,84.3022724,86.46579021,88.26951177,89.62142135
33,0.097840417,0.769749062,39.88916177,54.2372126,68.41322385,76.92197333,84.40720417,85.71624542,86.97991521,87.63755469
34,0,0.002418542,36.00818333,50.11354594,65.61859729,75.26684167,84.6263176,85.67875646,86.74868521,87.26558021
35,0.516924792,2.101488333,47.68506167,60.86609635,73.56539729,80.61045385,86.43086719,87.79912198,88.78649229,89.27915302
36,4.858484792,8.555232813,54.52619927,66.05611083,76.8844976,82.83850854,87.73638583,89.04199479,90.19145438,90.78733573
37,0.430744479,3.492452292,49.23930323,61.23842938,73.26110469,80.27142354,86.1525326,87.44884969,89.04837865,89.92716094
38,0,0,27.33014219,43.37190302,62.56568854,74.93563406,86.29480156,87.50803146,88.94177875,90.02619219
39,5.543667917,7.706623333,47.29392,62.27521656,76.91187531,85.26962302,91.48518885,92.56871396,93.49485865,93.95327177
40,6.85342375,12.24368146,63.51170302,77.20930219,88.15372281,94.75920083,96.96552885,98.63408583,99.4204049,99.78098448
41,0.899159271,3.083505833,57.12157667,71.4572175,82.7093774,89.2019601,93.92672854,96.13372167,98.07852167,98.89334948
42,0.003939896,0.211872604,41.43283135,57.38693135,71.92029115,80.59838365,87.48573104,89.58491063,91.48642365,92.42414219
43,3.742893229,6.501485104,54.39177031,67.52741188,78.64582646,84.93976177,89.44319396,91.19944833,92.82815833,93.7377175
44,0.287132292,1.007289583,47.21022708,60.90012854,74.45119698,81.68654625,87.18905792,89.04270688,90.81215594,92.04574896